Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C17, C18, C19, C2, C6, C7, C8",0603,12,0.1u,C14663
"C11, C3, C4, C9",0603,4,4.7u,C19666
"C15, C16",0603,2,15p,C1644
C5,0603,1,0.01u,C57112
"FB1, FB2, FB3",0603,3,FerriteBead,C154133
IC3,TQFP-48_7x7mm_P0.5mm,1,W5100S-L,C194673
"R1, R3, R8",0603,3,680k,C25822
"R10, R6",0603,2,330k,C100970
R11,0603,1,82k,C103831
R12,0603,1,91k,C23265
R13,0603,1,442k,C23175
"R14, R5, R9",0603,3,220k,C123420
"R16, R17, R18, R19, R20",0603,5,680,C23228
R2,0603,1,360k,C23146
R21,0603,1,1M,C22935
"R22, R23, R24, R25",0603,4,49.9,C23184
R26,0402,1,12.3k,C346621
R4,0603,1,910k,C23263
R7,0603,1,1.2M, C13315
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP6002-xMC,C7377
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25M,C9006
